swap_pair,swap_pair_address,liquidity_USD,token_0_symbol,token_0_address,token_0_decimals,token_0_totalSupply,token_1_symbol,token_1_address,token_1_decimals,token_1_totalSupply
FREE-WBNB,0xd665b1059601d1808b8106ce70e9a66addab1329,277.924,FREE,0x9b82bbb99629abd02154ac89de01a3443396b85c,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
GCME-WBNB,0x8dfd7d8cfcadf35215e415ef040e258ed21e7519,245.735,GCME,0x9528cceb678b90daf02ca5ca45622d5cbaf58a30,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
ETH-BTCB,0xc06949431e4e88cb50ad4df176dc409ab1c78fe2,574.337,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,BTCB,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,18792
WBNB-rkl,0xb0d1a98c5213d60ab4932779eb695943fe1aeb51,274.65,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,rkl,0xeca15e1bbff172d545dd6325f3bae7b737906737,18,18792
eQOM-WBNB,0xdc59e194c49a38350c7bde30df5ce0fcc9cedf3a,251.525,eQOM,0x154843c4fc4d4ae6b02e7f7c1e2c799f9e62a7ab,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-UNI,0x8c213a1479fc94d0f7af4c4e9129ba8e4b318352,244.881,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,UNI,0xbf5140a22578168fd562dccf235e5d43a02ce9b1,18,18792
BW3-WBNB,0x77256bae59323fb7d217c7df15979cafdd93a8f3,233.763,BW3,0x15ecc58be6d8ae1a3a0b40340c606bf4bd4dce1f,3,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
HOTCROSS-BUSD,0x1a126f39d78f43a4c1a2efafe63826dc0111825b,207.424,HOTCROSS,0x4fa7163e153419e0e1064e418dd7a99314ed27b6,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
WNYC-WBNB,0xa6e93e55e40639f7337914f2fd09c7dcd81a1a6c,207.597,WNYC,0x6c015277b0f9b8c24b20bd8bbbd29fdb25738a69,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-RJM-USD,0x05ee8f0360aaec1d4e2929a67f6aad827916d461,206.429,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,RJM-USD,0x828fbc0efa029167707aa7f3c027dd3cebab6ead,18,18792
BTCBR-WBNB,0xd309c1fab3bdc9bbe1c2ff526ddd23440dd26568,199.911,BTCBR,0x0cf8e180350253271f4b917ccfb0accc4862f262,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
maml-WBNB,0xea123ca5e2924ec7f249175716368bf6c27f6b77,238.057,maml,0x7b56571b7a3d533001a26573478d2ad624df2cd4,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
MGGP-WBNB,0x5f8f4f423c75b6c50d814c874ac7df55b2ddf3d6,176.321,MGGP,0x148abba8b93ebeff92bdd45bd313d02eef7254fd,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-ANK,0x897af2611da441dda6c6ec7e04a584799fe7d331,172.101,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,ANK,0xc8838a67c9ebc85acd5c396b824964fbdd88e5c7,18,18792
BUSD-SOURCE,0x5e9f4815d3f1ee2a6a3803fe6002252eac6a997c,148.152,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672,SOURCE,0xea136fc555e695ba96d22e10b7e2151c4c6b2a20,18,18792
ETH-COMP,0xa1f844aefb58fcfc2d470d9e41b97177a61b0ba7,174.894,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,COMP,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,18,18792
CR7-WBNB,0xa8e2cd0d01964137c995fbb777114fb9812cdd7d,168.61,CR7,0x6c43751fef27c956f7e75d5c345a65df1465f7e0,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
Cake-WBNB,0x70a164a8eccee2b7a1873af71efdfa82904f937d,166.211,Cake,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-BUSD,0x6eaec629b9cfa7acd507c50887c4851507da67e6,327.271,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
PROOF-WBNB,0x3f3adec96372aa92775bcf089d2a155158782dd3,155.009,PROOF,0xb093b645dcbe0e86f224855993e7c1cec6b7d987,9,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
